phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,2.053215798112956,0.5790524596115447,1.724038042997951,0.6514382402707276,
head,2,1.8402512344869995,0.6102740969322926,1.6812805814791452,0.6531302876480541,
head,3,1.8037436188057128,0.6253403521510256,1.6590802855096292,0.6489001692047377,
head,4,1.7857902247366055,0.6218914503539662,1.6400658225044986,0.6565143824027073,
head,5,1.7806761912456506,0.624614267562171,1.6420741629882916,0.6692047377326565,
finetune,1,1.5959529571382596,0.6738064984570703,1.365045000453891,0.7495769881556683,0.0001
finetune,2,1.4407832334729282,0.721183517879833,1.2446324333119916,0.7961082910321489,0.0001
finetune,3,1.3449479742694148,0.7569431838809221,1.179202749846147,0.8130287648054145,0.0001
finetune,4,1.2538830826840355,0.7850789616990379,1.1320651775689294,0.8384094754653131,0.0001
finetune,5,1.2038895735010995,0.8090397531312398,1.096881050345458,0.8443316412859561,0.0001
finetune,6,1.165128129042305,0.8206571065529135,1.054386747266637,0.8527918781725888,0.0001
finetune,7,1.1245152977660209,0.8388092212742785,1.0352069076951183,0.8612521150592216,0.0001
finetune,8,1.0747725237062868,0.8535124341985841,1.0032962502158433,0.8646362098138748,0.0001
finetune,9,1.0431804353495349,0.8649482664730441,0.9974135904747823,0.877326565143824,0.0001
finetune,10,1.0232237723934432,0.8776547467779996,0.9625306173831275,0.8849407783417935,0.0001
finetune,11,1.0029994588859892,0.8827373388999818,0.9585615624429409,0.88917089678511,0.0001
finetune,12,0.9812150185457439,0.8909057905245961,0.9354121055699847,0.9027072758037225,0.0001
finetune,13,0.9562879524466389,0.8987111998547831,0.9341416056386105,0.8967851099830795,0.0001
finetune,14,0.9322009579545466,0.9103285532764567,0.9160301939485037,0.9094754653130288,0.0001
finetune,15,0.9243720057526091,0.9108731167180977,0.9037059737139346,0.916243654822335,0.0001
finetune,16,0.907789256291849,0.91795244145943,0.8993544873045584,0.9120135363790186,0.0001
finetune,17,0.8940083295685731,0.9233980758758396,0.8746343118890287,0.9272419627749577,0.0001
finetune,18,0.8843653190804601,0.9233980758758396,0.8841961287403268,0.916243654822335,0.0001
finetune,19,0.875522218829903,0.9279361045561808,0.8779192438787212,0.916243654822335,0.0001
finetune,20,0.8552414291803884,0.9355599927391541,0.8708576988649449,0.928087986463621,0.0001
finetune,21,0.8459332788416859,0.9406425848611363,0.8661331688692122,0.9263959390862944,0.0001
finetune,22,0.8433638844110936,0.94082410600835,0.8691062467352388,0.9272419627749577,0.0001
finetune,23,0.8409502676879673,0.9428208386277002,0.8571383122058488,0.9314720812182741,0.0001
finetune,24,0.830372703596909,0.9455436558359048,0.855495299986373,0.9323181049069373,0.0001
finetune,25,0.8179484379877952,0.9499001633690325,0.8462939361226942,0.9331641285956007,0.0001
