,precision,recall,f1-score,support
0,0.972972972972973,0.972972972972973,0.972972972972973,37.0
1,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
2,0.9761904761904762,1.0,0.9879518072289156,41.0
3,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
4,0.8,0.9142857142857143,0.8533333333333334,35.0
5,1.0,0.8529411764705882,0.9206349206349206,34.0
6,0.9722222222222222,0.9210526315789473,0.9459459459459459,38.0
7,0.918918918918919,0.8717948717948718,0.8947368421052632,39.0
8,1.0,0.96875,0.9841269841269841,32.0
9,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
10,1.0,1.0,1.0,37.0
11,1.0,0.8918918918918919,0.9428571428571428,37.0
12,0.9393939393939394,0.96875,0.9538461538461539,32.0
13,0.8461538461538461,0.868421052631579,0.8571428571428571,38.0
14,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
15,0.975609756097561,0.975609756097561,0.975609756097561,41.0
16,0.9024390243902439,0.9736842105263158,0.9367088607594937,38.0
17,0.972972972972973,0.972972972972973,0.972972972972973,37.0
18,1.0,0.8857142857142857,0.9393939393939394,35.0
19,0.8333333333333334,0.9722222222222222,0.8974358974358975,36.0
20,0.9523809523809523,0.9523809523809523,0.9523809523809523,42.0
21,0.925,0.9487179487179487,0.9367088607594937,39.0
22,0.975,0.975,0.975,40.0
23,0.9361702127659575,0.9565217391304348,0.946236559139785,46.0
24,0.9333333333333333,0.875,0.9032258064516129,32.0
25,0.9361702127659575,0.9565217391304348,0.946236559139785,46.0
26,0.8709677419354839,0.9,0.8852459016393442,30.0
27,0.9736842105263158,0.925,0.9487179487179487,40.0
28,0.9705882352941176,0.9428571428571428,0.9565217391304348,35.0
29,0.8979591836734694,1.0,0.946236559139785,44.0
31,1.0,0.9310344827586207,0.9642857142857143,29.0
accuracy,0.9433476394849786,0.9433476394849786,0.9433476394849786,0.9433476394849786
macro avg,0.9459451031439049,0.9419290270915333,0.9429052603845233,1165.0
weighted avg,0.9458775009533898,0.9433476394849786,0.9436184029363929,1165.0
